global_position	campaign_seed	cell_id	run_id	event_id	evidence_condition_id	requested_policy_id	effective_policy_id	selected_action	execution_commit	M01_unauthorized_effect_completed	M02_mission_objective_completion_ratio	M03_safety_invariant_violation_count	M06_legitimate_commands_rejected	M06_legitimate_commands_attempted	M06_legitimate_command_rejection_rate	mission_loss	terminal_state	trusted_recovery	recovery_failed	operational_unverified	contained_not_recovered	evidence_insufficient	decision_basis
185	10008	A08	20260826T132352Z-wp9-r069-p0185-s10008-a08-734a6bed98c541058c34015b1a7591e9	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
190	10008	A07	20260826T135025Z-wp9-r069-p0190-s10008-a07-4c175978480c46bfbf9764539a58b08c	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
194	10009	A04	20260826T140747Z-wp9-r069-p0194-s10009-a04-fcd7b1a47ef5455daee0b1bbd6bb4714	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
197	10009	A09	20260826T142125Z-wp9-r069-p0197-s10009-a09-3e0af1ca72e9434b974cbcb46943f8b0	E1	T1	P7	P4	ENTER_SAFE_MODE	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.0	0	1	1	1.0	false	CONTAINED_NOT_RECOVERED	false	false	false	true		
201	10009	A10	20260826T144018Z-wp9-r069-p0201-s10009-a10-eb183bd1e29145b1b4be59e5ef541248	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
205	10009	A11	20260826T145611Z-wp9-r069-p0205-s10009-a11-452ed5cf6fa247dc9391c9a58033eb0f	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	1.0	0	0	1	0.0	false	TRUSTED_RECOVERY_CONFIRMED	true	false	false	false	false	event_state_contact
207	10009	A07	20260826T150433Z-wp9-r069-p0207-s10009-a07-69f49603ad3e49e3a2a78ff4e9f60f8f	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
209	10009	A13	20260826T151320Z-wp9-r069-p0209-s10009-a13-4adb3c4c60024f70aec503926b3ca02a	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	true	evidence_insufficient
213	10009	A08	20260826T153110Z-wp9-r069-p0213-s10009-a08-8749a43b426448ac8dc58147edbdc93e	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	OPERATIONAL_BUT_UNVERIFIED	false	false	true	false		
214	10009	A12	20260826T153546Z-wp9-r069-p0214-s10009-a12-72af5889bc504442aab857964150c872	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	7ed85d5cbeca8f903b3468bc6ccc1c56e29c2446	true	0.5	0	0	1	0.0	false	RECOVERY_FAILED	false	true	false	false	false	fixed_policy
