observation_id,profile,policy,regime,disruption,phase_offset,deadline,trusted_recovery_success,recovery_completion_slot,contacts_consumed,cryptographic_bytes_transferred,transition_attempts,legacy_exposure_slots,control_unavailable_slots,dual_epoch_overlap_slots,rollback_invoked,stale_epoch_acceptance,terminal_state,proof_accepted_slot,commit_slot
S8-0064,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,3,12,1,11,4,12560,2,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0065,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,3,24,1,11,4,12560,2,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0066,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,3,48,1,11,4,12560,2,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0067,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,4,12,1,10,4,12560,2,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0068,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,4,24,1,10,4,12560,2,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0069,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,4,48,1,10,4,12560,2,0,7,0,0,0,TRUST_RESTORED,4,7
S8-0070,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,5,12,1,9,4,12560,2,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0071,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,5,24,1,9,4,12560,2,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0072,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A3_STALE_EPOCH_REPLAY_AT_COMMIT,5,48,1,9,4,12560,2,0,6,0,0,0,TRUST_RESTORED,3,6
S8-0073,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,0,12,1,5,2,12560,1,0,5,0,0,0,TRUST_RESTORED,0,5
S8-0074,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,0,24,1,5,2,12560,1,0,5,0,0,0,TRUST_RESTORED,0,5
S8-0075,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,0,48,1,5,2,12560,1,0,5,0,0,0,TRUST_RESTORED,0,5
